,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
38701,4704-98860,Lease,No,No,No
38702,4704-44603,Power Purchase Agreement,No,No,No
38703,4704-50232,Power Purchase Agreement,No,No,No
38704,4702-69884-GJ,Purchase,No,No,No
38705,4704-94480,Power Purchase Agreement,No,No,No
38706,4704-39175,Lease,No,No,No
38707,4704-45394,Power Purchase Agreement,No,No,No
38708,4704-77648,Lease,No,No,No
38709,4704-81964,Lease,No,No,No
38710,4704-48048,Lease,No,No,No
38711,4704-59657,Lease,No,No,No
38712,4704-92945,Power Purchase Agreement,No,No,No
38713,4704-69844,Power Purchase Agreement,No,No,No
38714,4704-54683,Purchase,No,No,No
38715,4704-45521,Power Purchase Agreement,No,No,No
38716,4704-69299,Lease,No,No,No
38717,4704-80841,Power Purchase Agreement,No,No,No
38718,4704-86657,Lease,No,No,No
38719,4704-41346,Power Purchase Agreement,No,No,No
38720,4704-68454,Lease,No,No,No
38721,4704-56051,Lease,No,No,No
38722,4704-95675,Power Purchase Agreement,No,No,No
38723,4704-37575,Lease,No,No,No
38724,4704-75126,Lease,No,No,No
38725,4704-82991,Lease,No,No,No
38726,4667-31253,Purchase,,No,No
38727,4704-48736,Power Purchase Agreement,No,No,No
38728,4697-30787,Purchase,,No,No
38729,4704-80531,Power Purchase Agreement,No,No,No
38730,4704-45092,Lease,No,No,No
38731,4704-40359,Lease,No,No,No
38732,4704-46737,Lease,No,No,No
38733,4704-62258,Lease,No,No,No
38734,4704-72368,Lease,No,No,No
38735,4704-79777,Power Purchase Agreement,No,No,No
38736,4704-64633,Power Purchase Agreement,No,No,No
38737,4704-61125,Power Purchase Agreement,No,No,No
38738,4704-61578,Lease,No,No,No
38739,4704-43093,Power Purchase Agreement,No,No,No
38740,4704-77209,Lease,No,No,No
38741,4704-81737,Power Purchase Agreement,No,No,No
38742,4704-44460,Lease,No,No,No
38743,4704-79437,Lease,No,No,No
38744,4704-46799,Lease,No,No,No
38745,4704-93537,Lease,No,No,No
38746,4704-52637,Lease,No,No,No
38747,4704-79318,Lease,No,No,No
38748,4704-99646,Lease,No,No,No
38749,4704-71906,Power Purchase Agreement,No,No,No
38750,4704-84738,Power Purchase Agreement,,No,No
38751,4704-89862,Lease,No,No,No
38752,4704-47247,Lease,No,No,No
38753,4704-42430,Power Purchase Agreement,No,No,No
38754,4704-59265,Lease,No,No,No
38755,4704-91580,Lease,No,No,No
38756,4704-89049,Power Purchase Agreement,No,No,No
38757,4704-55273,Lease,No,No,No
38758,4704-47336,Power Purchase Agreement,No,No,No
38759,4704-77628,Power Purchase Agreement,Yes,No,No
38760,4704-42822,Lease,No,No,No
38761,4704-79032,Power Purchase Agreement,No,No,No
38762,4704-53732,Power Purchase Agreement,No,No,No
38763,4694-34340,Power Purchase Agreement,No,No,No
38764,4704-60092,Lease,No,No,No
38765,4704-47929,Power Purchase Agreement,No,No,No
38766,4704-34466,Lease,No,No,No
38767,4704-85625,Power Purchase Agreement,No,No,No
38768,4704-69624,Lease,No,No,No
38769,4704-51526,Lease,No,No,No
38770,4704-57205,Lease,No,No,No
38771,4704-90941,Lease,No,No,No
38772,4704-94527,Lease,No,No,No
38773,4704-56884,Lease,No,No,No
38774,4704-89241,Power Purchase Agreement,No,No,No
38775,4704-78636,Power Purchase Agreement,No,No,No
38776,4704-48675,Lease,No,No,No
38777,4704-89519,Power Purchase Agreement,No,No,No
38778,4704-69102,Power Purchase Agreement,No,No,No
38779,4704-69196,Purchase,No,No,No
38780,4704-82036,Power Purchase Agreement,No,No,No
38781,4704-44138,Lease,No,No,No
38782,4704-56421,Lease,No,No,No
38783,4704-77104,Power Purchase Agreement,No,No,No
38784,4704-51925,Lease,No,No,No
38785,4704-51221,Lease,No,No,No
38786,4704-84997,Lease,No,No,No
38787,4704-94075,Power Purchase Agreement,No,No,No
38788,4704-70477,Lease,No,No,No
38789,4704-93236,Lease,No,No,No
38790,4704-94329,Lease,No,No,No
38791,4704-73061,Lease,No,No,No
38792,4704-60534,Power Purchase Agreement,No,No,No
38793,4704-72155,Lease,No,No,No
38794,4704-50760,Power Purchase Agreement,No,No,No
38795,4704-82356,Lease,No,No,No
38796,4704-37448,Lease,No,No,No
38797,4704-46522,Power Purchase Agreement,No,No,No
38798,4704-41481,Power Purchase Agreement,No,No,No
38799,4704-59148,Lease,No,No,No
38800,4704-41841,Power Purchase Agreement,No,No,No
38801,4704-87355,Power Purchase Agreement,No,No,No
38802,4704-73209,Lease,No,No,No
38803,4704-97116,Lease,No,No,No
38804,4704-61053,Lease,No,No,No
38805,4704-70158,Lease,No,No,No
38806,4704-63502,Lease,No,No,No
38807,4704-75101,Lease,No,No,No
38808,4704-78573YY-IRH,Power Purchase Agreement,No,No,No
38809,4704-45972,Lease,No,No,No
38810,4704-92396,Power Purchase Agreement,No,No,No
38811,4704-82290,Power Purchase Agreement,No,No,No
38812,4704-38096,Lease,No,No,No
38813,4704-93109,Power Purchase Agreement,No,No,No
38814,4704-51765,Lease,No,No,No
38815,4704-91612,Power Purchase Agreement,No,No,No
38816,4704-54365,Lease,No,No,No
38817,4704-78507,Power Purchase Agreement,No,No,No
38818,4704-94425,Lease,No,No,No
38819,4704-52609,Lease,No,No,No
38820,4704-69887,Power Purchase Agreement,No,No,No
38821,4669-42165,Lease,No,No,No
38822,4704-83731,Lease,No,No,No
38823,4704-51274,Power Purchase Agreement,No,No,No
38824,4704-83998,Power Purchase Agreement,No,No,No
38825,4704-37183,Lease,No,No,No
38826,4679-102563,Power Purchase Agreement,,No,No
38827,4704-47002,Power Purchase Agreement,No,No,No
38828,4704-58283,Power Purchase Agreement,No,No,No
38829,4704-84443,Power Purchase Agreement,No,No,No
38830,4704-78079,Power Purchase Agreement,Yes,No,No
38831,4704-92036,Lease,No,No,No
38832,4702-34398,Purchase,Yes,No,No
38833,4704-87122,Power Purchase Agreement,No,No,No
38834,4704-57063,Lease,No,No,No
38835,4694-37814,Power Purchase Agreement,No,No,No
38836,4704-48440,Lease,No,No,No
38837,4704-90645,Lease,No,No,No
38838,4704-85987,Lease,No,No,No
38839,4704-52470,Lease,No,No,No
38840,4704-39137,Lease,No,No,No
38841,4704-46570,Lease,No,No,No
38842,4704-88752,Lease,No,No,No
38843,4704-82311,Lease,No,No,No
38844,4704-42363,Power Purchase Agreement,No,No,No
38845,4704-69693,Power Purchase Agreement,No,No,No
38846,4704-66820,Lease,No,No,No
38847,4704-92599,Lease,No,No,No
38848,4704-88187,Power Purchase Agreement,No,No,No
38849,4704-77919,Lease,No,No,No
38850,4704-69691,Lease,No,No,No
38851,4704-67392,Lease,No,No,No
38852,4704-80424,Power Purchase Agreement,No,No,No
38853,4702-34491,Purchase,No,No,No
38854,4704-65857,Power Purchase Agreement,No,No,No
38855,4669-34853,Lease,No,No,No
38856,4704-90261,Power Purchase Agreement,No,No,No
38857,4704-90699,Lease,No,No,No
38858,4704-44829,Lease,No,No,No
38859,4704-45271,Lease,No,No,No
38860,4704-44836,Power Purchase Agreement,No,No,No
38861,4704-92306,Power Purchase Agreement,No,No,No
38862,4704-63974,Lease,No,No,No
38863,4704-73635,Lease,No,No,No
38864,4704-69370,Lease,No,No,No
38865,4704-89914,Lease,No,No,No
38866,4704-45300,Lease,No,No,No
38867,4704-98556,Lease,No,No,No
38868,4704-45739,Lease,No,No,No
38869,4704-99513,Lease,No,No,No
38870,4663-98639,Purchase,No,No,No
38871,4704-57595,Power Purchase Agreement,No,No,No
38872,4704-69629,Power Purchase Agreement,No,No,No
38873,4704-73015,Power Purchase Agreement,No,No,No
38874,4704-40597,Lease,No,No,No
38875,4704-38349,Lease,No,No,No
38876,4704-96576,Power Purchase Agreement,No,No,No
38877,4697-63492,Purchase,No,No,No
38878,4704-89672,Lease,No,No,No
38879,4704-81186,Power Purchase Agreement,No,No,No
38880,4704-67494,Lease,No,No,No
38881,4704-44552,Lease,No,No,No
38882,4687-42809,Purchase,No,No,No
38883,4704-80858,Lease,No,No,No
38884,4704-50828,Lease,No,No,No
38885,4704-99765,Lease,No,No,No
38886,4704-41973,Lease,No,No,No
38887,4704-79039,Power Purchase Agreement,No,No,No
38888,4704-84064,Power Purchase Agreement,No,No,No
38889,4704-51912,Purchase,No,No,No
38890,4704-47613,Lease,No,No,No
38891,4704-51688,Lease,No,No,No
38892,4704-68785,Power Purchase Agreement,No,No,No
38893,4704-85668,Power Purchase Agreement,No,No,No
38894,4704-79798,Lease,No,No,No
38895,4704-41816,Power Purchase Agreement,No,No,No
38896,4704-47611,Power Purchase Agreement,No,No,No
38897,4704-95796,Lease,No,No,No
38898,4704-60656,Power Purchase Agreement,No,No,No
38899,4704-89477,Lease,,No,No
38900,4704-82447,Power Purchase Agreement,No,No,No
