$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
2520,7.2,8452
1860,4.65,5458
4028,10.07,11821
2352,8.4,9860
1008,2.52,2958
2485,6.21,7293
2619,8.97,10529
18760,26.98,31664
2552,6.38,7489
2010,5.03,5899
8580,21.45,25179
1100,2.75,3228
3960,9.9,11621
0,10.01,11744
5452,13.63,15999
1137,4.06,4766
2860,7.15,8393
1183,4.05,4754
3428,11.28,13235
1962,3.92,4606
7800,19.5,22890
1276,3.19,3745
950,3.3,3874
3229,10.35,12149
3240,8.1,9508
1365,3.9,4578
3283,12.25,14380
5616,14.04,16481
3312,8.28,9719
1970,7.44,8733
2048,5.12,6010
2295,4.59,5388
3016,7.54,8851
2022,6.48,7606
2777,11.02,12936
3623,12.08,14174
16508,110.53,129745
4161,15.53,18224
1380,3.45,4050
1788,6.21,7290
1643,5.2,6104
1680,6,7043
601646.2,2755.62,3234657
2576,13.63,15999
2070,5.18,6075
0,7.71,9044
4070,10.18,11944
3174,7.94,9314
1920,4.8,5634
4560,11.4,13382
3931,12.6,14790
5101,12.75,14970
6045,12.09,14192
1827,9,10565
29036,41.48,48691
17080,24.4,28642
2394,5.99,7025
32120,45.89,53862
4140,10.35,12149
1584,3.96,4648
1260,3.15,3698
2697,8.99,10553
3960,9.9,11621
3845,14.79,17361
1116,4.5,5282
2226,7.52,8828
1239,3.92,4601
3864,11.04,12959
2088,5.22,6127
6540,16.35,19192
2016,5.04,5916
1624,4.06,4766
2835,8.97,10529
3312,8.28,9719
34960,62.4,73248
2400,6,7043
3312,8.28,9719
4578,11.45,13435
1674,5.58,6550
2517,10.15,11914
2622,6.56,7695
2120,5.3,6221
4640,11.6,13617
2760,6.9,8099
6160,15.4,18077
1025,3.77,4425
3120,7.85,9212
2070,5.18,6075
2240,5.6,6574
1319,4.34,5094
1217,3.9,4578
1200,3,3522
6448,16.12,18922
5160,12.9,15143
0,11.1,13030
2252,4.51,5288
2688,6.72,7888
4576,11.44,13429
845092.96,3009.6,3532789
2208,5.52,6480
3262,11.02,12936
3612,11.88,13945
4204,10.92,12818
5313,17.25,20249
1683,5.61,6585
4752,11.88,13945
1134,2.84,3328
2800,7,8217
2137,7.42,8710
3696,9.24,10846
2562,6.6,7747
3082,7.71,9044
1722,3.45,4044
1512,3.78,4437
4550,9.1,10682
2285,7.94,9314
2557,8.41,9872
6072,15.18,17819
1077,4.73,5546
2906,9.32,10934
1344,3.36,3944
1267,5.56,6525
0,6.7,7865
1464,3.66,4296
0,8.64,10142
1296,5.4,6339
2268,5.67,6656
4176,10.44,12255
2680,6.7,7865
5160,12.9,15143
2412,6.03,7078
1656,4.14,4860
3752,9.38,11011
2522,8.52,10001
3106,6.21,7293
2016,5.04,5916
3960,9.9,11621
4140,10.35,12149
2728,6.82,8006
2943,5.89,6909
3180,7.95,9332
5088,6.72,7888
3008,7.52,8828
2720,10.15,11914
2880,7.2,8452
1608,4.02,4719
27931,56.1,65852
1421,3.84,4508
29120,41.6,48832
552,1.38,1620
2912,7.28,8546
1985,7.88,9244
2520,3.15,3698
3408,8.52,10001
3255,9.3,10917
2736,6.84,8029
1101,3.77,4425
2534,8.8,10330
2560,5.12,6010
1827,5.22,6127
2478,7.08,8311
14257,35.64,41839
4130,5.9,6926
2450,9.86,11574
3082,7.71,9044
968,3.36,3944
1680,4.2,4930
2640,6.6,7747
4176,10.44,12255
4690,11.73,13763
4680,11.7,13734
2760,6.9,8099
2736,6.84,8029
3480,4.35,5106
1366,2.8,3287
2010,5.03,5899
8640,21.6,25355
1469,6.93,8135
3074,7.69,9021
1794,4.49,5265
3780,9.45,11093
2233,6.38,7489
1411,5.04,5916
3364,8.41,9872
5040,10.08,11832
3072,7.68,9015
37592,55.76,65453
1874,6.6,7747
75000,813.51,954931
0,10.56,12396
2304,5.76,6761
3857,11.02,12936
5775,10.5,12325
1981,9.28,10893
4896,12.24,14368
3456,8.64,10142
1323,4.73,5546
1890,4.73,5546
2088,5.22,6127
3960,10.2,11973
1964,6.82,8006
3584,8.96,10518
3956,15.95,18723
1920,4.8,5634
3960,9.9,11621
2088,5.22,6127
1402,5.42,6356
2254,7.94,9314
3036,7.59,8909
1334,5.53,6485
0,6.62,7765
2261,7.16,8399
690,1.73,2025
2128,5.32,6245
2346,5.87,6885
3770,9.43,11063
5832,14.58,17115
13104,18.72,21974
1517,4.8,5634
5712,14.28,16762
20552,51.84,60852
1751,8.48,9954
2371,7.8,9156
2530,6.33,7425
1920,4.8,5634
5292,13.23,15530
1890,4.73,5546
1752,6,7043
1148,6.38,7489
1560,3.9,4578
2354,5.89,6909
4990,16.42,19269
3080,8.8,10330
3676,12.77,14984
1980,4.95,5811
0,12.04,14133
4464,11.16,13100
2102,7.2,8452
1758,5.94,6973
1008,3.32,3891
8120,14.3,16786
1856,4.64,5447
7320,18.3,21481
2392,5.98,7020
3924,7.85,9212
5184,12.96,15213
2280,5.7,6691
41300,64,75126
3240,8.1,9508
2360,5.9,6926
2640,6.6,7747
0,4.8,5634
2496,8.32,9766
2700,9,10565
2016,5.04,5916
0,7.04,8264
1518,3.8,4455
7044,11.61,13628
2236,7.26,8522
2330,7.98,9367
2112,5.28,6198
3465,11.55,13558
1824,6,7043
2270,7.37,8651
3120,7.8,9156
48140,79.88,93760
4305,12.3,14438
1166,2.92,3422
4640,5.8,6808
1472,5.04,5916
1440,3.6,4226
3822,9.8,11504
1373,5.28,6198
3584,8.96,10518
3149,11.69,13716
1946,7.16,8399
1488,3.72,4367
121297.77,555.56,652139
2773,9.77,11463
2240,5.6,6574
848,2.12,2489
2352,5.88,6902
2417,11.4,13382
817,2.76,3240
3126,10.56,12396
4356,10.89,12783
2186,8.28,9719
2850,7.13,8364
2900,10.66,12513
1596,4.56,5353
3720,7.44,8733
2975,9.66,11339
3584,8.96,10518
2801,10.01,11744
1690,6.21,7293
6370,15.93,18693
7200,18,21129
1104,4.93,5787
3168,7.92,9297
2115,7.85,9212
7140,28.56,33525
693,2.48,2905
4550,9.1,10682
3132,7.83,9191
2340,5.85,6867
1536,3.84,4508
897,4.93,5787
3828,9.57,11234
8840,22.1,25942
1640,6.72,7888
1399,4.49,5265
3240,8.1,9508
1140,2.85,3345
736,3.12,3662
,7.14,8381
2304,5.76,6761
2219,8.28,9719
2982,9.81,11515
2544,6.36,7466
23391,42.84,50287
2014,5.04,5910
1275,4.62,5423
3520,8.8,10330
4650,9.3,10917
2224,5.56,6525
2224,7.83,9191
3640,9.1,10682
2898,7.25,8504
1560,3.9,4578
0,5.89,6914
3120,7.8,9156
1794,4.49,5265
2711,8.58,10072
2280,5.7,6691
3401,8.5,9980
15776,39.44,46296
1848,4.62,5423
5292,13.23,15530
1847,7.54,8851
3940,14.7,17255
2808,7.02,8240
1987,6.9,8099
4640,5.8,6808
3854,13.2,15495
3654,10.44,12255
4440,11.1,13030
1624,4.06,4766
5040,12.6,14790
27032,73.44,86207
2544,6.36,7466
2028,7.8,9156
1714,6.21,7290
1536,3.84,4508
1102,4.59,5388
3024,7.56,8874
2438,6.1,7155
2040,5.1,5987
1428,5.76,6761
3310,13.32,15636
1831,4.58,5374
1560,3.9,4578
0,5.44,6386
1872,4.68,5494
2484,6.21,7290
1560,3.9,4578
65000,258.4,303320
1474,3.69,4326
2484,6.21,7290
2054,6.5,7630
928,2.32,2723
1265,4.94,5799
2508,6.27,7360
2132,10.5,12325
1260,3.15,3698
6900,17.25,20249
3840,9.6,11269
4032,10.08,11832
1176,3.72,4367
3252,10.56,12396
1855,3.71,4355
1380,3.45,4050
2088,5.22,6127
5922,14.81,17379
3380,6.76,7935
2688,6.72,7888
2394,5.99,7025
2592,6.48,7606
6210,15.53,18224
2912,7.28,8546
1321,4.29,5036
4104,10.26,12044
24383,64.61,75842
3360,8.4,9860
3668,14.79,17361
5348,10.7,12554
3783,11.97,14051
1629,7.54,8851
4115,14.49,17009
5695,19.24,22585
16384,40.96,48080
1276,3.19,3745
3312,8.28,9719
1570,5.23,6142
2520,7.2,8452
552,3,3522
6032,15.34,18007
9472,23.68,27797
1220,3.96,4648
3058,10.92,12818
7848,19.62,23031
2080,4.16,4883
2436,10.5,12325
64057,114.57,134487
1392,3.48,4085
3600,9,10565
3696,9.24,10846
13320,33.3,39089
3036,7.59,8909
878,4.14,4860
3098,11.39,13370
1827,6.09,7149
2478,7.08,8311
1644,8.7,10212
2318,5.8,6802
3538,11.34,13311
6300,18,21129
1742,6.5,7630
1310,4.68,5494
3600,9,10565
2808,7.02,8240
5139,16.91,19844
3849,12.18,14297
4088,8.18,9596
3920,9.8,11504
2680,6.7,7865
2016,5.04,5916
1392,3.48,4085
1440,3.6,4226
1062225.94,2743.65,3220606
939,2.97,3486
3360,11.2,13147
1368,3.42,4015
2800,5.6,6574
1207,4.25,4989
1740,4.35,5106
3520,8.8,10330
1116,2.79,3275
2098,6.9,8099
1800,4.5,5282
1357,4.85,5687
1320,3.3,3874
4428,11.07,12994
122616.51,561.6,659229
1462,6.09,7149
9600,24,28172
2728,6.82,8006
3023,12.19,14309
3061,16.82,19744
3036,7.59,8909
5762,14.41,16909
3162,8.32,9766
4088,8.18,9596
2760,6.9,8099
5088,6.72,7888
1340,3.35,3932
1243,4.2,4930
1296,3.24,3803
2915,5.83,6843
4158,10.4,12202
3008,7.52,8828
3248,8.12,9532
1568,3.92,4601
0,6.21,7293
1904,6.9,8099
751993.83,2669.28,3133308
1365,3.9,4578
1240,3.1,3639
3720,9.3,10917
818,2.88,3381
3024,7.56,8874
5494,13.74,16123
784,2.8,3287
1140,3.96,4648
3560,12.9,15143
2560,8.1,9508
7440,18.6,21833
5264,13.16,15448
3133,10.73,12595
1584,3.96,4648
1716,4.29,5036
1596,3.99,4684
4608,11.52,13523
2006,6.6,7747
6447,12.42,14579
2944,8.41,9872
0,12.6,14790
4430,15.6,18312
4560,11.4,13382
1296,3.24,3803
2912,7.28,8546
2943,10.08,11832
0,9.16,10748
65000,200.22,235026
2440,10.73,12589
2521,8.08,9485
21974,31.39,36849
8024,20.06,23547
4784,11.96,14039
3780,9.45,11093
2304,5.76,6761
1188,2.97,3486
4032,10.08,11832
2898,7.25,8504
2190,6.93,8135
1987,6.9,8099
798,2,2342
1254,4.02,4719
1344,3.36,3944
3584,8.96,10518
3139,7.85,9212
3597,7.19,8445
1204,3.96,4648
3283,10.66,12513
1906,6.27,7360
2939,10.35,12149
2304,5.76,6761
2624,8.41,9872
2464,6.16,7231
1785,6.76,7935
1276,3.19,3745
1260,3.15,3698
2448,10.2,11973
2280,5.7,6691
2490,7.98,9367
1350,5.72,6714
5040,14.4,16903
2415,4.83,5670
2118,6.88,8070
6120,15.3,17960
3312,11.04,12959
,4.42,5188
1336,4.64,5447
2272,5.68,6667
4810,12.03,14115
8502,17,19960
0,8.91,10459
2756,10.44,12255
1976,4.94,5799
3584,8.96,10518
2371,9.28,10893
5796,14.49,17009
2688,6.72,7888
1680,3.36,3944
4095,8.19,9614
1429,4.64,5447
1298,3.25,3809
65584,138.96,163117
1856,4.64,5447
4320,10.8,12677
3143,10.08,11826
1512,3.78,4437
1140,2.85,3345
4060,5.8,6808
1452,3.63,4261
2438,6.1,7155
1485,5.46,6409
13601,19.5,22890
3456,8.64,10142
970,3.15,3698
1104,2.76,3240
1890,5.4,6339
1794,4.49,5265
1364,3.41,4003
2554,11.2,13147
975,6.5,7630
2640,6.6,7747
1456,3.64,4273
2468,8.12,9532
3600,9,10565
0,3.15,3698
6720,16.8,19721
1856,2.32,2723
3100,7.75,9097
10437.79,474.24,556682
208,0.52,610
5494,13.74,16123
3146,11.4,13382
950,3.77,4425
2930,9.9,11621
6210,12.42,14579
1688,7.2,8452
4340,8.68,10189
1856,4.64,5447
1870,7.54,8851
1492,5.83,6843
1736,4.34,5094
3136,3.92,4601
2144,5.36,6292
1414,5.2,6104
1044,2.61,3064
1976,4.94,5799
1876,4.69,5505
2180,6.9,8099
1421,4.06,4766
1177,2.94,3455
687,1.96,2303
1440,3.6,4226
1488,4.83,5670
2376,5.94,6973
2244,5.61,6585
20160,28.8,33807
1794,4.49,5265
1352,5.2,6104
2688,6.72,7888
2278,7.7,9033
7800,26.22,30778
3629,12.6,14790
2040,5.1,5987
1920,4.8,5634
2800,7,8217
,5.8,6808
1835,7.28,8546
992,3.6,4222
1596,4.56,5353
3240,8.1,9508
4176,10.44,12255
3036,7.59,8909
2160,5.4,6339
1320,3.3,3874
3516,12.74,14955
3136,10.05,11797
36881,54.18,63599
2622,6.56,7695
4608,11.52,13523
3522,12.9,15143
2392,5.98,7020
1635,3.27,3838
1794,4.49,5265
3024,7.56,8874
222090.29,1401.48,1645113
2621,10.08,11832
2354,5.89,6909
60740,107.2,125836
4760,11,12912
2784,6.96,8170
2352,5.88,6902
1197,4.56,5353
2781,7.13,8369
809,3.3,3874
3270,6.54,7677
4066,11.96,14039
1972,5.1,5987
1261,5.22,6127
3401,8.5,9980
3036,7.59,8909
2166,5.42,6356
3330,11.1,13030
2835,5.67,6656
3240,8.1,9508
1276,3.19,3745
2376,5.94,6973
1795,6.6,7747
1617,5.25,6163
2079,9,10565
1624,4.64,5447
3033,9.72,11410
20552,51.84,60852
4340,12.4,14556
945,3.15,3698
1636,8.27,9702
812,2.32,2723
2375,11.31,13276
1604,7.98,9367
914,2.61,3064
1188,3.96,4648
664,2.95,3463
2394,5.99,7025
1477,6.48,7606
596,2.8,3287
3434,9.81,11515
3959,11.31,13276
1710,4.28,5018
3502,13.34,15659
2520,7.2,8452
5379,15.37,18041
4914,14.04,16481
24966,41.61,48843
3304,9.44,11081
1652,4.72,5541
3780,12.6,14790
2821,8.06,9461
2328,7.56,8874
1864,6.21,7293
2152,8.54,10025
2566,8.56,10042
2423,9.35,10980
3067,17.33,20337
1960,5.6,6574
3182,15.95,18723
0,3.99,4684
1324,4.36,5112
1805,7.48,8774
5230,21.05,24703
1296,4.32,5071
699,3.48,4085
1624,4.64,5447
791,5.61,6585
3581,10.23,12008
1336,5.94,6973
1874,5.36,6286
2339,9.28,10893
1993,8.41,9872
2958,8.45,9919
1085,5.4,6339
1389,5.67,6656
1162,4.43,5194
1764,5.04,5916
540,3.6,4226
2844,9,10565
2592,6.48,7606
3334,19.5,22890
1215,5.51,6468
4242,15.34,18007
1166,5.8,6808
900,3,3522
882,2.52,2958
2694,11.84,13898
1978,8.19,9614
783,2.61,3064
6820,11.77,13818
5760,9.6,11269
2079,6.93,8135
1062,6.21,7290
10530,23.4,27468
3702,14.49,17009
1612,7.26,8522
935,3.66,4296
3996,13.32,15636
3689,10.54,12372
4804,13.73,16111
2520,7.2,8452
3185,9.1,10682
6076,17.36,20378
960,2.4,2817
1921,5.49,6444
2866,8.19,9614
821,2.7,3169
1344,4.48,5259
998,4.32,5071
20424,34.04,39958
1053,6.27,7360
1260,4.2,4930
2149,8.41,9872
4097,18.88,22162
773,3.63,4261
1150,5.9,6926
1296,3.24,3803
1605,5.28,6198
1620,5.4,6339
529,3.15,3698
1824,4.56,5353
2496,7.13,8369
2409,10.85,12736
1500000,7504,8808495
2079,5.94,6973
26418,44.03,51684
0,9.25,10858
1192,5.76,6761
2718,9.57,11234
2929,11.31,13276
648,2.16,2535
0,8.28,9719
2262,7.54,8851
3082,7.71,9044
8698,24.85,29172
2275,8.75,10271
1025,4.95,5811
1621,7.83,9191
1929,5.51,6468
1680,6.4,7513
1488,4.25,4990
3654,10.44,12255
2268,7.56,8874
1523,4.35,5106
2923,10.44,12255
3736,10.68,12531
540,3.6,4226
1550400,6201.6,7279686
6993,19.98,23453
21600,24,28172
0,7.03,8252
2328,6.65,7806
3843,10.98,12889
2202,7.97,9350
2281,10.71,12572
4241,18.36,21552
1296,3.24,3803
1825,7.67,9003
3188,15.4,18077
1207,5.51,6468
1305,4.35,5106
940,4.29,5036
916,3.27,3838
610,3.63,4261
3690,12.3,14438
1751,5.76,6761
5150,14.72,17273
2030,5.8,6808
972,3.24,3803
3780,12.6,14790
1296,4.32,5071
1365,4.55,5341
3360,9.6,11269
3240,10.8,12677
1264,5.4,6339
1796,8.41,9872
1457,7.59,8909
992,4.05,4754
1920,6.4,7513
3205,9.16,10748
2287,11.55,13558
2095,5.99,7025
1927,6.79,7965
0,5.55,6515
1724,7.56,8874
1512,5.04,5916
2160,7.2,8452
1512,5.76,6761
1728,5.76,6761
810,2.7,3169
1080,3.6,4226
1764,10.89,12783
1480,7.59,8909
1732,6.6,7747
2842,8.12,9532
1773,10.37,12173
0,7.03,8252
2700,9,10565
3000,7.5,8804
1339,6.71,7876
1304,6.12,7184
1392,4.64,5447
2588,8.63,10124
3465,9.9,11621
1188,3.96,4648
5880,16.8,19721
4697,13.79,16181
3416,9.76,11457
2052,6.84,8029
1928,5.51,6468
1247,4.88,5728
1497,5.94,6973
1575,7,8217
1544,6.6,7747
1566,5.22,6127
1512,5.04,5916
792,2.64,3099
0,7.4,8686
4158,11.88,13945
3260,9.32,10934
1247,5.94,6973
1188,3.96,4648
2899,14.21,16680
1163,5.1,5987
2541,7.26,8522
6125000,7549.36,8861741
1287,4.29,5036
1728,4.32,5071
0,9.25,10858
4655,13.3,15612
1037,5.4,6339
1322,6.12,7184
1575,5.25,6163
1345,7.35,8628
6038,17.25,20249
864,2.88,3381
927,4.68,5494
5150,14.72,17273
1260,4.2,4930
2218,9.24,10846
1683,5.61,6585
2016,5.76,6761
0,10.36,12161
1422,5.49,6444
0,9.25,10858
1344,3.84,4508
1836,6.12,7184
769,4.2,4930
2685,7.67,9003
0,6.6,7747
2808,9.36,10987
983,4.32,5071
1829,6.44,7560
2520,8.4,9860
1728,5.76,6761
2393,9.24,10846
3098,8.85,10388
1296,4.32,5071
1530,5.1,5987
1131,3.77,4425
1077,5.28,6198
1831,5.23,6142
2030,5.8,6808
2105,7.02,8234
1728,4.32,5071
1050,3,3522
2160,7.2,8452
1512,5.04,5916
4013,14.7,17255
990,3.3,3874
4200,12,14086
3118,8.91,10459
2712,7.75,9097
1728,4.32,5071
2436,6.96,8170
1512,5.04,5916
3780,10.8,12677
3136,8.96,10518
917,4.02,4719
4305,12.3,14438
2300,9,10565
4270,12.2,14321
1051,3.6,4226
1240,7.25,8510
3309,9.46,11099
2520,7.2,8452
1587,6.96,8170
2310,6.6,7747
1365,3.9,4578
3360,9.6,11269
4709,15.7,18425
2196,7.32,8593
3780,10.8,12677
1005,3.35,3932
1953,5.58,6550
3754,10.73,12589
2780,12.81,15037
3564,11.88,13945
1029,4.9,5752
1652,4.72,5541
0,8.4,9860
1040,5.94,6973
1131,3.77,4425
1728,4.32,5071
2708,13.08,15354
1564,4.95,5811
42169,281.13,329996
1440,3.6,4226
2616,7.48,8774
0,12.07,14168
3205,9.16,10748
3455,13.34,15659
2277,7.59,8909
2765,11.97,14051
2178,7.26,8522
3404800,2419.2,2839754
885,2.95,3463
900,3,3522
2640,6.6,7747
2026,7.93,9309
2304,5.76,6761
3210,10.56,12396
2448,6.12,7184
832,3.6,4226
1218,4.06,4766
3024,7.56,8874
5218,7.19,8445
2339,8.68,10189
1647,5.49,6444
1620,5.4,6339
5792,12.87,15107
1204,4.02,4713
1470,7,8217
1680,5.6,6574
2551,17,19960
1092,5.6,6574
29842,125.4,147200
32520,216.8,254489
1890,5.4,6339
2145,7.15,8393
1863,6.21,7290
1138,5.06,5940
2187,9.72,11410
753,6.79,7965
1440,3.6,4226
1310,5.6,6574
7655,17.01,19967
878,2.93,3433
1696,4.85,5687
1426,6.6,7747
1728,5.76,6761
2208,10.08,11832
2656,7.59,8909
2077,8.99,10553
2520,7.2,8452
3255,9.3,10917
1671,6.12,7184
2112,7.04,8264
3420,8.55,10036
3002,10.01,11744
797,2.66,3117
1203,6.37,7471
0,4.95,5811
1584,6.29,7383
3045,8.7,10212
276413,614.25,721031
552,2.52,2958
2132,6.09,7149
2931,8.38,9831
1159,5.22,6127
1090,4.72,5541
1836,6.12,7184
8750,29.89,35086
4381,9.74,11427
1763,6.9,8099
6795,11.7,13734
1808,9.72,11410
1972,8.41,9872
3203,9.15,10741
2244,5.61,6585
2730,9.1,10682
2408,15.64,18353
1841,11.16,13100
0,9.36,10987
3833,10.95,12854
2223,9.75,11445
1089,5.04,5916
1863,9,10565
913,2.61,3064
784,2.24,2629
1011,4.32,5071
1984,9.15,10735
3332,9.52,11175
1134,3.24,3803
1116,3.19,3745
817,3.84,4502
0,8.25,9684
1058,5.04,5916
2700,9,10565
1663,5.94,6973
2122,7.88,9244
7880,14.8,17373
990,3.3,3874
1874,5.36,6286
1296,3.24,3803
891,2.97,3486
3840,4.8,5634
2291,8.5,9980
2160,5.4,6339
2886,10.71,12572
737,4.55,5341
1809,8.26,9696
8750,25.51,29940
5880,16.8,19721
2838,12.96,15213
2052,6.84,8029
981,3.27,3838
1661,5.61,6585
0,5.76,6761
1479,4.93,5787
1204,4.56,5353
1728,5.76,6761
1204,5.28,6198
1298,6.27,7360
3528,10.08,11832
1104,4.72,5541
2442,8.14,9555
3150,9,10565
2166,5.42,6356
2520,7.2,8452
2930,8.37,9825
1512,12.69,14890
1080,3.6,4226
2562,7.44,8733
1856,7.8,9156
3276,9.36,10987
2921,11.59,13605
1211,5.18,6075
1260,4.2,4930
2736,6.84,8029
2325,10.07,11815
5600,16,18781
1474,3.69,4326
2562,7.32,8593
2479,10.73,12595
1482,3.71,4349
3024,10.08,11832
1732,4.95,5811
1542,7.56,8874
2835,8.1,9508
1188,3.96,4648
3920,11.2,13147
1089,5.76,6761
3203,9.15,10741
1231,5.4,6339
3405,13.33,15641
1380,6.48,7606
3240,10.8,12677
1080,3.6,4226
3622,10.35,12149
1570,7.7,9033
2030,5.8,6808
1742,4.36,5112
1890,6.3,7395
2328,10.08,11832
4410,12.6,14790
6048,17.28,20284
2030,5.8,6808
1550,5.1,5987
2052,6.84,8029
6883,19.67,23084
1728,5.76,6761
2639,7.54,8851
2070,6.9,8099
3891,11.12,13051
4422,7.37,8651
3255,9.3,10917
0,4.26,5001
469,1.34,1573
4800,6,7043
1836,6.12,7184
2730,7.8,9156
2225,11.77,13818
1866,9.57,11234
1004,4.29,5036
1770,5.9,6926
1680,4.8,5634
4322,12.35,14497
2940,8.4,9860
1340,3.35,3932
1874,5.36,6286
1736,7.75,9097
1037,4.8,5634
1516,6.48,7606
1264,5.02,5887
2354,5.89,6909
3421,11.88,13945
2592,6.48,7606
1386,4.56,5353
1782,5.94,6973
287300,1149.2,1348977
1077,3.96,4648
1740,5.8,6808
734,3.6,4226
6300,18,21129
3045,8.7,10212
1014,4.2,4930
1624,4.64,5447
1593,5.31,6233
1073,4.9,5752
2245,8.12,9532
3906,11.16,13100
3840,4.8,5634
1213,3.99,4684
3830,13.68,16058
1320,3.3,3874
1194,5.04,5916
0,9.94,11668
2680,12.76,14978
1131,3.77,4425
2036,8.7,10212
2030,5.8,6808
1844,5.27,6186
3882,14.04,16481
2977,8.51,9984
1058,5.6,6574
3045,10.15,11914
4867,15.6,18312
0,6.38,7489
2518,7.19,8445
1764,5.04,5916
1440,3.6,4226
1404,4.68,5494
619,2.61,3064
574,3.3,3874
1032,2.95,3463
1685,8.64,10142
1550,12.92,15160
10512,23.36,27421
891,2.97,3486
5208,14.88,17467
2604,7.44,8733
0,9.59,11251
1936,7,8217
1944,6.48,7606
2646,7.56,8874
2419,10.8,12677
1248,4.16,4883
1134,5.04,5916
0,7.03,8252
6113,9.75,11445
2010,6.7,7865
817,3.63,4261
2970,9.9,11621
1221,4.07,4778
1424,4.75,5570
88209,196.02,230096
810500,577.5,677893
3392,9.69,11375
1197,3.99,4684
3024,8.64,10142
1620,5.4,6339
1452,3.63,4261
2365,10.8,12677
2079,6.93,8135
1624,4.64,5447
0,6.2,7278
4057,11.59,13605
58500,390,457798
3528,10.08,11832
957,3.19,3745
0,12.48,14650
0,8.17,9584
1238895,3539.7,4155041
8750,26.1,30637
1853,6.18,7248
8526,24.36,28595
746,3.5,4108
1521,7.92,9297
1089,5.04,5916
1890,6.3,7395
2044,11.55,13558
35640,35.85,42076
2213,7.48,8774
0,3.41,4003
1663,7.92,9297
687,2.29,2687
978,4.29,5036
2095,5.99,7025
812,2.32,2723
2088,9,10565
2041,9.45,11093
4593,14.54,17062
2211,9.57,11234
2031,8.41,9872
1512,5.04,5916
1549,10.33,12120
4235,6.1,7160
1037,5.32,6245
1466,5.9,6926
3927,11.22,13170
1827,5.22,6127
1261,6.67,7830
2279,6.51,7642
562,2.6,3052
2470,6.18,7248
3570,10.2,11973
2268,7.56,8874
3096,8.85,10383
3140,8.97,10529
1357,6.96,8170
1065,4.93,5787
1502,4.29,5036
2048,8.64,10142
4123,11.78,13828
2181,9.74,11427
2160,7.2,8452
2253,10.73,12595
3780,8.4,9860
1501031.25,6004.13,7047882
1568,7.26,8522
5494,15.7,18425
2827,11.88,13945
1782,5.94,6973
11550,77,90386
1503,7.26,8522
1814,8.4,9860
4911,14.03,16469
2842,8.12,9532
1178,5.1,5987
4368,6.48,7606
1134,5.4,6339
975,3.25,3815
1890,5.4,6339
4284,12.24,14368
510,3.15,3698
1177,6.65,7806
2284,8.82,10353
5292,15.12,17748
1177,3.92,4606
2079,6.93,8135
1055,4.5,5282
5380,15.37,18042
2873,11.4,13382
479,2.9,3404
0,10.03,11774
108536,147.56,173212
0,6.84,8029
1485,9,10565
8663,24.75,29053
4403,12.58,14767
1476,6.93,8135
1932,5.52,6480
1224,6,7043
2226,8.84,10371
1785,5.1,5987
882,5.25,6163
1139,4.93,5787
2062,5.89,6914
1242,4.14,4860
2205,6.3,7395
1715,7.54,8851
1260,4.2,4930
2697,8.99,10553
1305,4.35,5106
4225,18.78,22041
3626,10.36,12161
2376,7.92,9297
3370,10.8,12677
624,2.97,3486
783,2.61,3064
1944,6.48,7606
1651,7.54,8851
1632,7.8,9156
710,3.48,4085
859,4.34,5094
1096,5.4,6339
1648,6.54,7677
0,4.32,5071
4900,14,16434
3774,14.57,17103
2016,5.76,6761
1593,4.55,5341
0,7.46,8751
1247,5.4,6339
2300,7.67,8997
1188,2.97,3486
2416,9.86,11574
61230,102.05,119790
1218,3.48,4085
2649,8.83,10364
921,4.95,5811
1717,4.91,5758
2310,6.6,7747
2352,6.72,7888
0,7.97,9350
564,3.3,3874
735,3.5,4108
4218,10.55,12378
3203,9.15,10741
1470,7,8217
990,3.3,3874
2646,7.56,8874
1268,4.23,4959
1074,5.04,5916
1485,4.95,5811
837,3.19,3745
4226,15.48,18171
2208,10.22,11997
2047,5.85,6867
2412,8.04,9438
1879,8.7,10212
2788,7.97,9350
1556,7.8,9156
0,6.48,7606
1435,6.93,8135
2724,9.08,10658
2772,7.92,9297
3175,12.96,15213
2011,8.45,9919
1620,5.4,6339
5554,15.87,18629
4043,15,17608
1382,6.49,7618
2772,9.24,10846
2654,8.85,10383
1404,4.68,5494
2800,7.5,8804
2052,6.84,8029
1334,5.13,6022
5236,14.96,17561
2450,7,8217
1944,6.48,7606
2594,12.95,15201
2289,6.54,7677
2116,8.28,9719
1944,6.48,7606
0,8.7,10212
994,4.8,5634
2036,6.79,7965
1260,4.2,4930
2310,6.6,7747
1746,7.56,8874
35856,59.76,70149
1296,4.32,5071
2389,7.56,8874
844,2.85,3345
3651,13.73,16111
855,3.7,4343
2916,6.48,7606
1646,9.8,11504
5723,16.35,19192
927,3.96,4648
1373,3.92,4606
1838,8.28,9719
1981,8.85,10383
3249,13.65,16023
1144,5.61,6585
1674,7.44,8733
783,2.61,3064
1828,7.68,9015
3136,8.96,10518
2268,7.56,8874
2052,5.13,6022
2175,7.25,8510
0,10.05,11797
3265,14.81,17379
2736,6.84,8029
1350,4.5,5282
0,13.2,15495
1382,4.8,5634
4620,13.2,15495
1701,5.67,6656
2016,5.04,5916
64400,198,232420
4536,16.2,19016
1710,5.7,6691
