$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
12650,4.6,5400
17500,10.14,11899
7140,10.2,11973
6918.4,7.52,8827
7488,9.36,10987
12250,9,10565
9712.5,5.55,6515
4112.5,2.35,2759
25137,7.56,8874
12375,2.75,3228
18000,4.8,5634
19800,9.9,11621
6431,14.03,16463
3105,3.45,4050
14800,7.4,8686
14323.02,9.81,11515
5155.94,10.26,12044
23062.5,6.15,7219
22540,6.44,7560
2267.71,4.59,5388
13650,7.8,9156
3322.3,9.07,10641
3334.46,7.4,8681
5691.32,13.2,15495
17500,10.08,11832
5571.2,11.45,13435
29600,5.92,6949
26325,8.1,9508
6698.86,5.39,6327
10500,9,10565
9464.91,6.87,8061
1167.41,4.17,4889
46400,10.56,12396
31752,9.07,10647
18225,6.08,7137
29920,7.48,8780
8478.75,4.85,5687
16595.25,9.48,11132
3764.11,7.75,9097
4736.51,8.48,9954
35000,10.11,11868
3731.14,9.25,10858
9360,2.34,2747
35000,10.12,11879
8880,2.22,2606
15000,10.4,12208
24150,6.9,8099
3702.37,8.25,9684
10864,5.54,6503
14350,4.1,4813
16800,4.2,4930
29400,8.4,9860
47500,10.08,11832
20120,5.04,5916
33350,9.45,11093
4441.48,7,8217
5635,3.22,3780
3651.49,6.5,7630
11992.02,8.06,9461
5839.62,5,5869
16500,10.14,11903
18000,4.5,5282
2194.11,4.34,5089
4354.47,8.1,9508
10500,6,7043
11445,6.54,7677
5065.82,11,12912
7609.75,8.04,9438
35000,10.14,11903
4526.93,10.71,12572
5172.78,10.26,12044
35000,10.25,12032
54600,31.2,36624
2709.4,7.65,8980
28687.5,7.65,8980
105050,34.02,39934
16835,9.62,11292
2452.9,5.5,6456
16800,4.2,4930
17500,10.11,11862
2258.16,4.41,5177
1900.61,7,8217
3448.27,6.25,7337
8835,5.89,6914
4036.09,8.93,10477
7392,2.11,2477
6240,1.66,1949
21200,5.4,6339
24948,7.13,8369
12600,3.6,4226
2724.94,5.1,5987
14280,8.16,9579
3717.71,7.91,9279
35000,10.13,11891
13440,7.68,9015
1987.99,4.25,4989
3748.96,8.67,10177
4574.64,9.72,11410
62880.21,46.41,54478
37500,10.01,11750
2015.47,4.85,5687
8243.69,5.88,6902
3861,2.34,2747
2018.15,3.75,4402
2928.27,5.5,6456
2282.92,5.75,6750
23345,6.67,7830
12600,7.2,8452
17200,18.97,22263
34615,9.89,11609
5057.04,11.4,13382
48000,9.6,11269
2160,5.4,6339
19320,5.52,6480
35000,13.76,16152
1904.52,4,4695
1105.27,2.39,2800
19799.5,7.2,8452
3067.91,5.87,6885
35000,10.13,11891
14658.62,12.72,14931
2316.78,4.66,5464
3508.47,8.75,10271
5160.54,12.25,14380
44890.83,29.21,34282
2203.57,4.51,5288
12880,3.68,4320
16632,4.75,5576
17500,11.77,13818
2324.62,3.5,4108
7980,4.56,5353
37240,9.31,10928
4620.63,9.69,11375
2792.63,6.67,7830
20475,5.85,6867
4247.67,8.25,9684
192224,191.36,224626
1000,0.25,293
3113.36,7.14,8381
20000,10.08,11832
13000,11.25,13206
2961.62,5.5,6456
23625,6.75,7923
37440,9.98,11715
19762.5,5.27,6186
17500,10.32,12114
32760,9.36,10987
7644,5.88,6902
21924,6.26,7348
5417.03,9.86,11574
3845.07,5.5,6456
12075,6.9,8099
2774.46,5.36,6292
12250,8.57,10057
54570,31.2,36624
6095,12.19,14309
13734,7.85,9212
6240,4.8,5634
32900,9.4,11034
6552,7.28,8546
36288,8.06,9461
4111.38,8.8,10330
4355.93,11.99,14068
21560,5.52,6480
865.87,2.04,2395
2660.19,7.16,8399
17500,10.36,12161
4672.5,10.71,12572
8820,5.04,5916
2474.96,5,5869
2509,6,7043
1650,0.33,387
17500,10.08,11832
8810.61,9.01,10576
2184,0.62,728
50050,38.5,45193
15750,4.2,4930
11088,3.17,3721
37500,10.26,12044
2734.77,5.87,6885
87500,50.6,59396
35000,10.08,11832
16023,9.16,10748
5345.15,9.95,11674
87360,49.92,58598
4957.79,9.16,10748
17500,10.34,12138
32760,18.72,21974
21563,18.75,22010
7525,4.3,5048
5750,2.3,2700
11416.24,9.75,11445
7644,5.88,6902
4680,5.2,6104
3592.56,7.4,8681
27500,10.32,12114
34425,9.18,10776
2456.24,4.59,5388
14549.29,11.2,13147
991.53,2,2348
2024.19,4.85,5687
6020,3.44,4038
4591.92,10.26,12044
24570,7.02,8240
10062.5,5.75,6750
3924.14,10.25,12032
10283.59,7.5,8804
4330.05,7,8217
6580,3.76,4414
18593.31,12.22,14344
1544.87,4.08,4789
10300.5,5.89,6909
9240,5.28,6198
15120,8.64,10142
19200,3.2,3756
29106,8.32,9766
27054,6.01,7055
5260.56,10.01,11748
12580,6.29,7383
3410.35,7.14,8381
25000,10.12,11879
16200,4.32,5071
5387.56,7.84,9203
8050,4.6,5400
35000,10.8,12677
12420,4.14,4860
17784,3.74,4390
11375,6.5,7630
5793.84,4.75,5576
4590,4.59,5388
4397.11,10.71,12572
2446.75,4.85,5687
8750,5.04,5916
19031.3,5.08,5963
2642.03,5.75,6750
137280,49.92,58598
19845,5.67,6656
15000,3,3522
20000,10.08,11832
5566.42,12.75,14966
13162,11.45,13435
44887.5,9.98,11715
6485.75,7.19,8445
20928,26.16,30708
5100,5.1,5987
17280,2.88,3381
17077.5,6.21,7290
14560,8.32,9766
3250.83,7.14,8381
20000,10.34,12138
19008,4.75,5578
14217.5,5.17,6069
11920,5.28,6198
22575,6.45,7571
87500,50.83,59666
24700,7.92,9297
47500,10.08,11832
4509.85,3.43,4026
2542.18,6.38,7483
1487.34,4.91,5758
21937.5,5.85,6867
