,Project Number,Project Cost
584,2011-160629-SLPR,50274
585,2011-156993-SLPR,20625
586,2011-157856-SLPR,41136
587,2010-145744-SLPR,55400
588,2014-655019-Sola,38250
589,4089-51523,30244
590,2010-145900-SLPR,36056
591,2013-531938-Sola,51056
592,2013-636762-Sola,42534
593,2011-158332-SLPR,50614.5
594,2011-158801-SLPR,48950
595,2014-639949-Sola,26254
596,2012-499954-Sola,33300
597,2014-639893-Sola,51851
598,2014-655827-Sola,38823
599,2014-663239-Sola,48496.8
600,2013-528286-Sola,20660
601,2014-658679-Sola,45425
602,2011-156675-SLPR,36051
603,2011-160335-SLPR,52650
604,2013-535825-Sola,32232
605,4011-30067,31020
606,2013-533193-Sola,37000
607,2014-638412-Sola,20825
608,2011-161021-SLPR,90000
609,2011-159030-SLPR,63504
610,2011-160403-SLPR,36450
611,2011-157356-SLPR,43103
612,2012-489988-Sola,18967
613,2012-469511-Sola,43621.8
614,2014-646015-Sola,25594
615,2013-617076-Sola,37941
616,2011-160219-SLPR,58984
617,2014-655369-Sola,46250
618,4015-008,19549
619,2011-158827-SLPR,43971
620,4077-014,8880
621,2013-530610-Sola,36400
622,2011-188591-SLPR,48300
623,2014-643594-Sola,47190
624,2011-160276-SLPR,21728
625,2011-158647-SLPR,34500
626,4003-014,36185
627,2011-159604-SLPR,34004.2
628,2011-158513-SLPR,
629,4030-046,44894
630,4022-007,75600
631,2013-538675-Sola,35719
632,2011-448210-Sola,17136
633,2014-649691-Sola,32500
634,2013-531995-Sola,33540
635,2013-536849-Sola,17660.38
636,2013-531009-Sola,36731
637,4030-033,39870
638,2014-661297-Sola,22758
639,2014-663790-Sola,25600
640,2011-425804-Sola,33000
641,2012-465521-Sola,32129
642,2014-663919-Sola,61600
643,2013-538372-Sola,43244
644,2011-158528-SLPR,75000
645,2014-661167-Sola,56227
646,2014-643656-Sola,35036
647,2011-159185-SLPR,73500
648,2012-475451-Sola,95000
649,2014-653707-Sola,43758
650,2011-158087-SLPR,
651,2011-159977-SLPR,238140
652,2013-527035-Sola,37480
653,2014-664306-Sola,29392.7
654,2011-157212-SLPR,35280
655,2011-415194-Sola,47998
656,2013-585727-Sola,22050
657,2014-665447-Sola,39200
658,2014-653764-Sola,31250
659,4022-31064,27918.6
660,2014-664682-Sola,48195
661,2011-158992-SLPR,31844
662,2011-157760-SLPR,15675
663,4061-045,47164
664,2011-158845-SLPR,37095.4
665,2011-159828-SLPR,22680
666,2014-640009-Sola,29172
667,2012-502605-Sola,28662
668,2014-649572-Sola,45216
669,2011-159928-SLPR,69510
670,2011-440899-Sola,39850
671,2014-640367-Sola,21250
672,2014-659120-Sola,45517
673,2014-648547-Sola,39188
674,2013-540136-Sola,162435
675,2011-157498-SLPR,80678.6
676,2014-660731-Sola,25436
677,2013-533943-Sola,23466
678,2013-530163-Sola,20000
679,2014-654869-Sola,18750
680,2014-650962-Sola,27500
681,2014-645925-Sola,28750
682,2011-159674-SLPR,47631
683,2012-500769-Sola,43065
684,2013-531613-Sola,80742
685,2011-159779-SLPR,76351
686,2014-657139-Sola,43000
687,2011-156571-SLPR,68000
688,4006-100263,16934
689,2011-158684-SLPR,45510
690,2011-159360-SLPR,86346
691,2014-655332-Sola,15200
692,2014-639827-Sola,11925
693,2011-161126-SLPR,39599
694,2014-645338-Sola,33547
695,2011-159504-SLPR,78926
696,2013-535521-Sola,55714
697,2013-623503-Sola,27836
698,2014-663925-Sola,49000
699,2014-644955-Sola,70070
700,2013-636552-Sola,95932
701,2014-648906-Sola,24796
702,2011-159241-SLPR,31000
