,Project Number,Project Cost
84112,117878,56134.5
84113,168842,38430
84114,119267,43273
84115,176072,47171
84116,174219,16180.16
84117,168937,28286.99
84118,158873,41850
84119,168427,16196.1
84120,115275,31596
84121,129175,33122
84122,179172,29087.1
84123,151433,95864.78
84124,123256,14321.6
84125,175990,35272
84126,120734,33428
84127,148332,19824
84128,178687,30092
84129,159274,19824
84130,113597,31680
84131,113503,295616
84132,126522,69278
84133,126684,31531
84134,157245,19747.2
84135,161549,22136.4
84136,129091,44078.67
84137,120209,9208.08
84138,176798,17186.4
84139,156455,29477
84140,116340,10394.3
84141,129225,41769.27
84142,114462,68449
84143,114064,29868.75
84144,119766,28584.6
84145,172626,29156.71
84146,151948,15834
84147,163641,16719
84148,164013,29160
84149,157775,34450
84150,179849,25616.33
84151,121529,38539
84152,144818,14774.4
84153,129301,20400
84154,121973,25537
84155,117474,13889
84156,157576,18000
84157,165246,22478.4
84158,122720,13106.56
84159,181224,30251.66
84160,166314,15390
84161,136111,12702
84162,177074,17280
84163,119129,37422
84164,117268,13789
84165,158340,25798.5
84166,115291,17052
84167,164669,31311
84168,177132,13445.36
84169,118408,32480
84170,112164,22062
84171,110019,7370
84172,113164,34000
84173,151143,21556.8
84174,163288,34025.1
84175,121503,43802.23
84176,143329,16897.66
84177,162730,18320.4
84178,148848,9064.5
84179,143150,56160
84180,174736,24039
84181,178230,29678.5
84182,148389,30000
84183,177054,26161.2
84184,138231,26865.2
84185,149393,10519
84186,161299,24784
84187,115723,30672
84188,153188,17332.77
84189,130199,20162
84190,168217,16270.2
84191,137915,53459
84192,127287,30613.74
84193,119994,26883
84194,128696,45355
84195,163750,35224
84196,157025,32875
84197,180193,25401.6
84198,179292,52280
84199,179451,5713651.49
84200,170324,43560
84201,121786,130560
84202,117209,38457
84203,180195,23348.67
84204,181452,34910.52
84205,171563,24296.79
84206,129031,55869.9
84207,116100,21000
84208,109349,27700
84209,157848,14770.9
84210,127904,19997.82
84211,173909,38655.57
84212,114081,20463
84213,126888,18523
84214,155979,56076.8
84215,112746,99216
84216,112982,54936
84217,147530,54592
84218,118957,24948
84219,122006,32025
84220,178524,16360
84221,165776,46080
84222,152740,24360
84223,139857,41535
84224,112257,21928
84225,151058,24140
84226,118060,10617
84227,170653,14371.5
84228,159936,18522
84229,177666,23333
84230,117499,26158
84231,121351,13241.5
84232,159568,74250
84233,116865,78257
84234,155641,19687.8
84235,110693,200000
84236,110421,30206.4
84237,130165,13481
84238,134017,18270
84239,126229,17998.5
84240,109166,30943.13
84241,159560,32709.15
84242,166444,34794.96
84243,153209,18840.6
84244,146336,36186.21
84245,117931,25702.2
84246,168191,18150
84247,172462,87354
84248,144553,31423.2
84249,157875,21876
84250,129639,19438.99
84251,177823,23010
84252,163544,16996
84253,159596,23120
84254,159826,21845.25
84255,160073,31627
84256,161951,28036.8
84257,156314,32346.6
84258,138502,22420
84259,170551,8173.05
84260,114366,18468
84261,117062,22211.1
84262,156911,45259.2
84263,115539,26026
84264,162606,92601.2
84265,111683,32213.7
84266,117909,26532
84267,153623,28771.2
84268,173849,12209
84269,156443,18144
84270,143351,83600.96
84271,111992,10026
84272,157453,27631
84273,147695,21974.4
84274,156007,43290
84275,110758,37800
84276,168863,36597.6
84277,177564,16350
84278,143957,15834
84279,171620,23490
84280,119160,20668
84281,115212,24149
84282,158004,25427
84283,131163,332958.6
84284,171998,21304.9
84285,157178,34768.8
84286,147776,22377.6
84287,169064,48157
84288,117953,26481.6
84289,123203,30239
84290,120638,45746
84291,177524,29036.67
84292,122646,26910
84293,111030,19162
84294,111833,26345
84295,121958,9926.7
84296,115465,28735.5
84297,131421,28534.59
84298,120486,23848.44
84299,113798,25480
84300,120073,17262
84301,178823,50828.73
84302,120096,20355.5
84303,178346,22885.2
84304,159092,16605
84305,163257,22482
84306,140495,56376
84307,173764,61988.23
84308,155852,34713.4
84309,130041,20592
84310,166016,29922
84311,118306,23587.2
84312,126695,23745
84313,170596,10261
84314,151454,20450
84315,180378,15840
84316,140427,34312.5
84317,149201,23142
84318,129396,46800
84319,135823,13228
84320,128233,30362.14
84321,162565,29164
84322,127998,15259.8
84323,158403,15373
84324,169680,16507.68
84325,180908,27140
84326,116275,18363
84327,160060,23740.56
84328,149103,39816
84329,117014,18291
84330,121081,19073.01
84331,112841,13548.6
84332,175494,34382
84333,162165,24980
84334,114278,114955
84335,109324,12150
84336,178104,44928
84337,127433,44124
84338,135036,43095
84339,173575,99216
84340,167250,19800
84341,172511,43842
84342,169197,25728
84343,179040,22500
84344,108686,102502.4
84345,163994,38060
84346,152877,26568
84347,173392,36936.9
84348,129368,20862
84349,169391,10847.4
84350,113031,22890
84351,150465,58030
84352,148658,38206
84353,168393,144000
84354,153544,19583
84355,125951,28943
84356,113353,12164.4
84357,126721,13058.96
84358,165946,15778.8
84359,115860,20591.85
84360,171497,38567
84361,129080,15200
84362,170881,11651
84363,180063,14175
84364,179387,83328
84365,117450,29949
84366,169650,14780.4
84367,149326,44891
84368,113629,7433.6
84369,175572,42679
84370,153771,31385.1
84371,164432,36288
84372,158120,14186.8
84373,114911,30295.5
84374,139247,31408.4
84375,170873,29808
84376,110290,31360.5
84377,111898,28515.76
84378,156204,28620
84379,159757,14191.2
84380,115463,60898
84381,146500,34866.8
84382,153008,13027.68
84383,153353,33228
84384,161018,36435.9
84385,151023,23675
84386,171266,42480
84387,171042,52228.8
84388,167453,23556
84389,125898,12677.06
84390,159456,32616
84391,129346,18686
84392,135820,26300
84393,173025,18453.6
84394,179879,16620.39
84395,148620,30546.17
84396,159038,23538
84397,148307,18492
84398,127582,28295
84399,118100,24330
84400,163411,40343.9
84401,174601,370000
84402,163756,22752
84403,181332,24754.8
84404,150073,26040
84405,164250,21021.25
84406,114153,36804
84407,158706,30698.88
84408,108734,22042.76
84409,169119,51084
84410,150190,28606
84411,114575,25716
84412,127034,48672
84413,176301,28053.8
84414,175396,27379
84415,132054,16600
84416,136000,218078
84417,112321,14774.4
84418,108891,59005.5
84419,116909,17715.41
84420,177286,26147.52
84421,110945,18522
84422,127445,27178.63
84423,130763,25542
84424,128479,29333
84425,170075,36075
84426,113721,23310
84427,114443,73008
84428,122281,22834
84429,148173,20887.65
84430,134438,12700
84431,112546,54699
84432,180660,23590
84433,119562,26806
84434,157836,27430
84435,109684,622610
84436,142184,20895
84437,126418,39588
84438,111548,51828
84439,148566,31944
84440,115031,27598
84441,113884,30680
84442,128126,42500
84443,177180,36947
84444,172613,38880
84445,126607,23850
84446,111931,19500
84447,167812,21311
84448,152419,15000
84449,153401,23525.8
84450,152949,19328
84451,119094,87634
84452,110272,34602
84453,164752,72738
84454,214515,11120
84455,158313,42782.4
84456,175244,17250
84457,168442,24384
84458,112919,17160.96
84459,156417,43226
84460,171460,26700
84461,167709,32482.5
84462,117737,6159
84463,128893,19536
84464,118543,48753
84465,162330,20377
84466,109891,15833
84467,172307,36127
84468,127619,13079
84469,120518,25382
84470,152924,27800
84471,154675,13740
84472,166439,10469.2
84473,180675,11491.2
84474,119852,30608.36
84475,139950,25014
84476,161747,29224.8
84477,155919,16272
84478,175987,35975
84479,127238,23118
84480,161173,29128
84481,122226,44662
84482,121155,26395.2
84483,115556,27424.5
84484,168511,22461
84485,109143,40500
84486,178485,10674
84487,153797,24780
84488,114425,19677.9
84489,159177,26893.5
84490,174873,13759.2
84491,153315,33458.8
84492,173856,16400
84493,158941,31804.8
84494,121448,46288
84495,139829,26022.9
84496,155124,17384
84497,126747,30174.66
84498,142612,22740
84499,158391,34304
84500,163496,37791
84501,118808,52822
84502,117356,31104
84503,125693,20127.5
84504,128588,29725
84505,118031,18165.6
84506,109501,22292.7
84507,157804,27623.2
84508,161316,16578.91
84509,138513,14840
84510,159329,34309
84511,179636,26273.28
84512,122404,25255.65
84513,116230,28910
84514,181027,27851
84515,172766,19240
84516,166133,11738.85
84517,115791,20580
84518,177928,20792
84519,144694,21960
84520,127511,35640
84521,138387,42109.19
84522,159219,21063
84523,114649,32799
84524,159407,28959
84525,179734,29638
84526,163861,13500
84527,179159,135135
84528,121951,50993
84529,172966,47275.6
84530,217277,22812
84531,121318,24770
84532,166177,12024.99
84533,166487,31741.8
84534,167631,39060
84535,126386,28339.2
84536,109732,19237.5
84537,115127,25265.66
84538,162958,42573.6
84539,160591,37311
84540,152556,10220
84541,181077,31327.2
84542,166652,23074.8
84543,126778,13235000
84544,110377,18360
84545,116658,61362
84546,180596,14220
84547,115250,20718.71
84548,126964,18787.1
84549,114215,27594
84550,108750,48618
84551,118729,30260.5
84552,109841,10146.6
84553,128943,31944.8
84554,157480,15970
84555,113760,17439
84556,180167,22487
84557,115635,27347
84558,119429,23978
84559,162248,15317
84560,126793,24347.73
84561,164469,27121.5
84562,179358,42530
84563,128987,30888
84564,158765,17105.4
84565,126986,17376
84566,128013,143520
84567,127098,44740.22
84568,153707,27005
84569,128788,35796
84570,172130,37530
84571,120941,23728
84572,120819,27345
84573,177373,35408
84574,108809,44650.5
84575,157088,18932.94
84576,126812,21565
84577,156800,20518
84578,134530,42120
84579,115419,22857.3
84580,155479,19808
84581,159533,16270
84582,143475,90538
84583,115141,15455
84584,152067,29826
84585,118297,48600
84586,127936,60719
84587,165051,41850
84588,180535,35270
84589,119594,23642
84590,173651,23661
84591,166552,21495
84592,128945,12740
84593,157863,42786
84594,126581,44696
84595,127123,21354
84596,116964,31183.2
84597,180465,36360
84598,169964,49996.8
84599,154790,19224
84600,158246,23595
84601,162707,27000
84602,122060,17668.8
84603,149261,36158
84604,170286,23625
84605,117412,34946
84606,112878,34560
84607,153273,45241.41
84608,159016,107990
84609,157623,32271
84610,162144,12300
84611,135884,13051
84612,170791,82080
84613,154918,29721.6
84614,153506,22629.6
84615,109626,12438
84616,168612,25620
84617,113304,30499
84618,126318,8850
84619,154897,478704.48
84620,148628,34869
84621,150168,72933
84622,128658,176741
84623,119737,13241.5
84624,211769,32275
84625,122681,19280
84626,154189,30204.6
84627,119687,32385
84628,176733,22296.1
84629,177990,34500
84630,127606,31874.3
84631,166913,19710
84632,161400,46213.44
84633,115332,47521.5
84634,163119,15498.7
84635,162912,36713.25
84636,178559,21636
84637,164609,20283
84638,155253,40380
84639,159908,20500
84640,155944,67192.58
84641,153867,52745.55
84642,162482,20248.2
84643,179760,28435
84644,127884,13219.25
84645,108698,33685
84646,148562,30560
84647,172302,19620
84648,171009,30954
84649,180953,45768
84650,153835,41203
84651,165982,37500
84652,158050,12899.27
84653,181316,49576
84654,165863,11438
84655,118247,95720
84656,164066,27955
84657,121704,233472
84658,127372,226770
84659,142793,21940
84660,161973,19554
84661,167543,13326
84662,139176,16890.9
84663,126897,69054
84664,153144,35118.76
84665,153912,135437.07
84666,117191,30132
84667,174923,15676
84668,115755,42300
84669,161896,29224.8
84670,165104,25552.8
84671,116317,45135
84672,162636,19089
84673,137716,21021.25
84674,157418,26124
84675,139123,14981
84676,168775,49140
84677,116440,19900
84678,144638,20160
84679,109460,54510
84680,126841,11550
84681,165965,21900
84682,180554,38106
84683,164141,31860
84684,114202,18396
84685,147899,21000
84686,165716,38874
84687,118590,21500
84688,127662,15834
84689,142712,16472
84690,163457,21016.8
84691,125994,58999
84692,116485,16629
84693,128708,33798.7
84694,161201,28090.08
84695,113949,24544
84696,133748,21597
84697,158409,14450
84698,130093,83160
84699,110472,38404.8
84700,161494,31758.6
84701,112119,61610
84702,166820,34913
84703,143308,25000
84704,153489,61776
84705,172726,20500
84706,119880,19656
84707,161482,43200
84708,169631,35675
84709,117680,32379
84710,115588,12000
84711,160232,45252
84712,110541,37494.5
84713,109215,1162140.2
84714,126807,19846.8
84715,153970,22848
84716,158028,48400
84717,162512,14924
84718,167642,92862
84719,114101,38880
84720,179945,19761.9
84721,120673,30537
84722,156157,25697.9
84723,157723,14160
84724,120339,41480
84725,175779,25000
84726,165606,34612.5
84727,160811,22408
84728,167138,19859
84729,165208,12992.4
84730,156137,16907
84731,170440,28985
84732,154050,18178.44
84733,174000,1184505.17
84734,137571,12672.75
84735,166421,50943.6
84736,152636,20629.12
84737,113581,26904
84738,141903,27700.05
84739,178835,47725.6
84740,111494,33600
84741,166867,33976.6
84742,161448,13457
84743,114702,67618.5
84744,179765,34980
84745,179845,20437.6
84746,118163,33660
84747,154876,19695
84748,172517,17172
84749,153601,36166.27
84750,126640,28390
84751,177637,33840
84752,122179,10325
84753,122434,27846
84754,116727,32025
84755,157051,17851
84756,127337,16470
84757,114942,17390.26
84758,158376,12435
84759,115798,13352
84760,168249,26568.75
84761,175467,23579.91
84762,171770,10743.9
84763,156578,26893.5
84764,119504,12750
84765,161633,19089.6
84766,141868,34072.5
84767,162316,15426
84768,147662,26887
84769,174021,39631
84770,135055,29517.6
84771,175854,20653.35
84772,163551,17748
84773,169788,36500
84774,162844,75964
84775,111623,13701
84776,125863,25926.8
84777,122351,24525
84778,128406,123317.55
84779,126920,77832
84780,128976,25488
84781,174229,32432.4
84782,155131,37952
84783,127332,12700
84784,116031,32002.5
84785,119075,31222
84786,162218,7693540
84787,135776,14528
84788,122961,32482.5
84789,115239,44650.5
84790,154137,25116
84791,109279,37655
84792,180775,27328
84793,157822,24504.54
84794,114050,52246.8
84795,151203,43562.2
84796,154642,16691
84797,122711,16477.5
84798,164702,4805.01
84799,153670,40100
84800,115997,16500
84801,110897,12961.25
84802,128804,19967
84803,120134,19395
84804,181389,15923
84805,140314,59253.5
84806,128762,36504
84807,161615,14562
84808,167345,8543
84809,174154,29812
84810,128203,46137.6
84811,166373,18262
84812,126351,30400
84813,154172,32175.36
84814,113779,16194
84815,118757,27210
84816,110352,17300
84817,153893,45500
84818,166258,15394
84819,158505,49130
84820,121413,35316
84821,160770,24343.2
84822,176384,24119.78
84823,115514,46656
84824,163379,22161.6
84825,126951,11230.47
84826,169439,25514.24
84827,127385,52205.55
84828,156820,72072
84829,170822,25689.6
84830,173527,26945
84831,119802,26735
84832,118130,15940.5
84833,180639,17375.4
84834,178271,27234.9
84835,153895,117976.23
84836,112631,62968
84837,152829,43950
84838,166382,22841
84839,160725,16610.7
84840,112905,17661
84841,181201,16445.66
84842,181667,21262.5
84843,118404,25780
84844,151123,11651
84845,114627,29412
84846,180391,20260.8
84847,126565,36874
84848,109885,13812.48
84849,159210,14904
84850,117213,17020.8
84851,180429,15843.75
84852,121198,34125
84853,127793,11457
84854,157613,24000
84855,110100,14938
84856,156248,13251.6
84857,116537,18434.72
84858,122667,16562.71
84859,154454,66700
84860,148776,29682
84861,161283,36195
84862,160158,52198
84863,159865,26899.2
84864,130982,15550.38
84865,177086,25344
84866,128075,30450
84867,180278,11042
84868,164948,13420
84869,119395,34758
84870,173254,30621
84871,154699,44712
84872,117790,35500
84873,139969,53466
84874,159695,24000
84875,149400,11292
84876,153473,21840
84877,113961,24360
84878,120403,21939
84879,117180,24928
84880,162404,18889.4
84881,116484,26051
84882,110985,38178
84883,156876,23011
84884,113683,27270
84885,109425,22425.95
84886,120684,16755
84887,162425,32281.2
84888,168724,27736.8
84889,171331,21932
84890,167555,28903.58
84891,148733,42235.2
84892,111062,19800
84893,120525,40055.1
84894,177843,26390
84895,121298,17594.5
84896,156094,27681
84897,159660,25432.5
84898,122555,12697.5
84899,147082,45910.8
84900,109578,631350
84901,160305,9906.3
84902,146368,12961.8
84903,152276,22687.51
84904,118350,23625
84905,160130,12115
84906,149653,26305.5
84907,114748,73360.5
84908,110515,36975
84909,154467,20373.05
84910,163313,63298
84911,113001,15825
84912,128185,45275
84913,111759,20304
84914,177145,200624.45
84915,137697,41892.5
84916,163393,20090.7
84917,115360,38880
84918,155005,42740
84919,156370,34867
84920,135309,34100
84921,142642,36306.49
84922,120357,27942.65
84923,147077,31590
84924,148258,26306.25
84925,171843,45396
84926,125757,19047.6
84927,120676,15033.6
84928,115374,49864.5
84929,156664,30600
84930,122865,16333
84931,116086,34848
84932,108921,22747.4
84933,158150,34127
84934,128069,25934
84935,178666,15336
84936,168998,63920.01
84937,146936,36600
84938,175503,11232
84939,163476,29747
84940,174411,34095.6
84941,166889,16380
84942,170151,51812
84943,164272,15598
84944,157231,20137.99
84945,109522,660000
84946,127767,42464
84947,115282,70350
84948,120998,38520
84949,153043,11775
84950,118513,31147
84951,122509,22696.5
84952,179255,25322.3
84953,171976,30056.4
84954,159292,27000
84955,175265,36086.4
84956,139262,45050.79
84957,115700,39852
84958,172840,21223
84959,167136,31622.4
84960,165850,24053
84961,155677,32945.25
84962,176255,95378
84963,180745,41618.6
84964,175107,44904
84965,135139,19121
84966,172337,16517
84967,142088,15680
84968,128818,141100
84969,154993,18831
84970,109030,21393.05
84971,110620,30424
84972,178046,28851.2
84973,129192,27540
84974,162064,17738
84975,168359,160356
84976,144006,11760
84977,113042,33855
84978,158881,24164
84979,112179,21959
84980,177205,23327
84981,116622,27674
84982,113806,24360
84983,123264,10550
84984,172093,41175
84985,167009,22482.6
84986,155952,28665
84987,167737,16136
84988,170247,35761.44
84989,152638,20390
84990,153217,27288
84991,136239,18890
84992,112579,21903.12
84993,110002,6848
84994,154243,19734.96
84995,120018,25136
84996,110839,37572
84997,116526,30552.24
84998,186311,17245.8
84999,159240,15203.43
85000,120866,25758
85001,114737,64747.5
85002,117429,17504
85003,161940,20826
85004,157018,16249
85005,139270,24282
85006,130712,28820
85007,115828,30660
85008,149762,18287
85009,162773,23920
85010,142850,33905
85011,128276,71740
85012,122309,17582.59
85013,115620,20700
85014,117459,34428
85015,119793,64747.5
85016,177628,35418.19
85017,172598,11902
85018,157855,17130
85019,175433,34520.06
85020,111661,33692
85021,108828,11306
85022,158837,11003.05
85023,129108,32373
85024,128024,23950.3
85025,170465,66153.75
85026,119820,19489.5
85027,155221,25689.6
85028,152543,68904
85029,172089,32470.55
85030,119143,17892
85031,123173,21660.6
85032,165441,67505
85033,161836,22481
85034,138645,24360
85035,181208,31453
85036,114473,21240
85037,110014,33489.2
85038,159576,13507.6
85039,146573,28510.8
85040,127634,33292
85041,116751,18316
85042,173716,32890.79
85043,112304,22042.8
85044,180261,30186
85045,173356,24408
85046,153587,50648
85047,181432,23911.2
85048,148897,31162
85049,133949,18360
85050,177062,18928.8
85051,158750,27022.5
85052,173124,25740
85053,118120,40296
85054,131441,43299
85055,177805,15118.95
85056,127986,31250
85057,119361,26440
85058,163147,23028
85059,174104,7704618.75
85060,164735,33566.4
85061,127260,29313.78
85062,161564,46166.4
85063,175258,24864
85064,113138,14354.75
85065,175957,33717.51
85066,151960,49335
85067,166827,24317
85068,164027,24219.15
85069,130051,40868
85070,157748,19800
85071,113512,14661.53
85072,115955,20213
85073,159306,22572
85074,181188,29562
85075,112673,67860
85076,163144,44452
85077,121620,19650
85078,111691,27232
85079,128055,26016
85080,166288,27000
85081,125810,21712
85082,156591,22680
85083,149775,23976
85084,158909,19828
85085,147187,24360
85086,121998,34612.5
85087,178623,21680
85088,176465,12369
85089,168175,76212
85090,115780,41520
85091,112002,19285
85092,158454,67382.07
85093,110489,306300
85094,161514,33015
85095,179119,11799.01
85096,139853,26465
85097,170944,51372
85098,171577,20081.25
85099,168791,17600
85100,128852,12460.5
85101,120111,35555
85102,154614,10810
85103,110929,13920
85104,135633,37902.5
85105,117324,66692
85106,174315,29037.6
85107,163532,52272
85108,112413,19170
85109,111539,54230
85110,157160,20911
85111,118625,50672.7
85112,128909,28340
85113,155835,55150
85114,167881,19320
85115,109114,32400
85116,115325,23250
85117,154816,24881
85118,175633,22909.62
85119,173601,5613097.61
85120,150152,44928
85121,179183,44011
85122,176658,24966
85123,176510,29521.8
85124,122581,16614
85125,142512,23901
85126,165536,8840
85127,164240,10338
85128,115886,39825
85129,177488,15111
85130,127745,35394
85131,152503,25640
85132,158606,14998
85133,127864,26306.25
85134,113097,28785
85135,169101,19646
85136,138470,27135
85137,157911,18939
85138,167063,34957
85139,170723,16294.98
85140,110173,23600
85141,111258,16880
85142,127574,46861
85143,116898,37800
85144,169010,15680
85145,170716,22043
85146,169624,19872
85147,117134,20775.6
85148,153285,26602.4
85149,120720,69778.8
85150,115548,13813.28
85151,166506,26841.6
85152,177258,41773
85153,163601,32743
85154,151082,22865.55
85155,139031,66569
85156,163061,25057
85157,148960,24507.9
85158,151032,46570
85159,168210,38482.35
85160,169666,17595
85161,156918,14431
85162,122878,23760
85163,119030,16884
85164,159115,33385.27
85165,165689,31360
85166,126141,29304
85167,113794,38342.8
85168,133821,49164
85169,131378,27500
85170,171186,21672
85171,109666,42830
85172,164578,873180
85173,159500,31993
85174,162571,30948.75
85175,128491,45362
85176,122778,32976
85177,117683,43776
85178,156673,34720
85179,118255,30432.46
85180,155401,19915.5
85181,132100,14460
85182,119459,38532
85183,131947,22563.45
85184,159076,31912
85185,163228,25494
85186,121482,19000.22
85187,116606,64605
85188,180365,41285.64
85189,151475,14160
85190,165084,21312
85191,169205,15774
85192,128178,46137.6
85193,118311,20631
85194,157880,29015
85195,129437,21670
85196,159608,9357
85197,176218,48207
85198,129387,19584
85199,158638,15177.3
85200,163847,20217.6
85201,177354,28123.25
85202,113270,25025
85203,108760,26594
85204,111022,16099.65
85205,152325,16927.16
85206,161768,14983
85207,115479,38520
85208,136135,18036
85209,160317,22728
85210,175551,453647
85211,111922,15850
85212,111285,51600
85213,152414,47560
85214,159043,25678
85215,129004,20128.5
85216,168465,19872
85217,116348,13284
85218,154479,63746.8
85219,120274,15591.6
85220,152246,18250
85221,176815,32432.4
85222,161369,59131.3
85223,156216,45135
85224,178250,319200
85225,111417,31536
85226,144785,13770
85227,166119,28778
85228,109475,89460
85229,131916,40139.25
85230,163685,10075
85231,167187,16036
85232,131975,49595.5
85233,121350,16925
85234,161041,29052
85235,114042,8049
85236,131830,29646
85237,164832,37868
85238,177459,29412
85239,169791,42120
85240,117259,17950
85241,109762,12210
85242,178065,25502.4
85243,166029,29652
85244,129016,18360
85245,173141,12641
85246,149280,54443
85247,112272,13937
85248,177969,58827.82
85249,159750,36828
85250,153195,15687
85251,120593,42168
85252,121242,20496
85253,158115,57456
85254,180974,42054.59
85255,162059,24741
85256,163491,11383.2
85257,179494,42087.6
85258,111888,15998
85259,159765,24624
85260,163047,20619
85261,136220,21280
85262,115456,36000
85263,158434,18900
85264,153001,25724
85265,157528,24179.4
85266,168408,144000
85267,154338,13419
85268,127083,17745
85269,156696,33700
85270,168604,11227.7
85271,139028,18096.4
85272,121846,20254
85273,172617,17330
85274,160948,26376.84
85275,176886,10376
85276,117371,13725
85277,115202,10894
85278,112777,17533
85279,118890,24797
85280,117396,14898
85281,110385,39816
85282,126734,21539
85283,112928,30377
85284,109064,20804
85285,170119,30000
85286,175562,977875
85287,156622,16638.3
85288,147626,28716.6
85289,114602,39550
85290,170310,21564.5
85291,173922,12971
85292,123017,13227.5
85293,117075,24356.79
85294,111570,35996.5
85295,148460,26467
85296,172161,30185
85297,116902,23004
85298,118688,31736
85299,113866,26866.24
85300,112427,18580
85301,128726,36140
85302,165537,22488
85303,130335,29540.56
85304,152939,31859
85305,118111,77508
85306,149300,35290
85307,119377,18880
85308,155520,24460
85309,110171,25514
85310,179662,24036.6
85311,179477,25866
85312,131212,28839
85313,129978,18880
85314,114312,17722
85315,174095,31329
85316,130751,32468
85317,126590,34350
85318,158213,15375.2
85319,164951,50544
85320,121217,28185
85321,156765,17760
85322,139930,34874
85323,167007,40640
85324,174378,15487.2
85325,116143,23389
85326,159371,23327.7
85327,153736,29530
85328,108879,56188
85329,113744,11313
85330,128461,37145
85331,175290,43993.3
85332,109065,30888
85333,129248,14788
85334,176636,27468
85335,160572,27234
85336,167705,19506
85337,181170,19680
85338,164185,41103
85339,111125,28116
85340,163653,26872
85341,141955,14924
85342,173158,27125
85343,152403,34442
85344,151838,17405
85345,165302,43278.17
85346,128094,32760
85347,152708,40047
85348,176040,22180
85349,161663,30734.44
85350,180760,37508.4
85351,159382,24480
85352,165493,22693
85353,170764,16775.1
85354,122798,24686.7
85355,180683,30113.92
85356,161123,25197.9
85357,120034,27604.8
85358,115749,32004
85359,167464,39323
85360,151582,20455.92
85361,112478,21030
85362,121568,32950
85363,158684,49990.27
85364,165500,19634
85365,127172,25000
85366,122414,22170
85367,119619,26914.38
85368,143447,32830.19
85369,170294,37518.75
85370,118203,18900
85371,181412,5640
85372,116496,14808
85373,110260,226879
85374,113712,37473
85375,153790,22690.95
85376,157674,19889.86
85377,164407,39458.3
85378,118178,54420
85379,167074,29433.6
85380,181261,11620.05
85381,116614,31799
85382,122793,16400
85383,117760,103112
85384,167785,4312643
85385,161762,24824
85386,162342,13755
85387,161307,89093.93
85388,119905,63608
85389,161703,28444.5
85390,114000,24360
85391,172178,32760
85392,167199,30755.76
85393,127676,13572
85394,178471,34398.1
85395,172544,28512
85396,169217,14942
85397,134513,28080
85398,160818,27302.99
85399,108963,29304
85400,116029,22875
85401,118066,36650
85402,109534,957000
85403,164821,11812
85404,165613,345600
85405,113911,22532
85406,167607,137592
85407,178788,71466
85408,154340,27544
85409,166187,10601.36
85410,119579,15591.6
85411,173634,19926
85412,127530,42630
85413,115580,53600
85414,110316,34075.3
85415,160024,32050
85416,113222,18790
85417,170851,44743.48
85418,148377,16915
85419,118193,32104
85420,118627,23874
85421,174561,15800.2
85422,171430,10867.5
85423,108655,29394
85424,137582,36060
85425,158611,17118
85426,136036,32008.35
85427,127133,23495
85428,168635,16933
85429,175144,44580
85430,160177,18870.45
85431,156299,14928
85432,114552,30295.5
85433,129110,53570
85434,150838,31916.05
85435,146564,21225
85436,127695,16240
85437,169996,21384
85438,179057,27088.1
85439,165744,28830
85440,122072,17508.4
85441,163099,68526
85442,158965,59867.71
85443,120920,33900
85444,112886,14752
85445,126772,22363
85446,160417,27593.1
85447,128366,20288
85448,114791,27772
85449,153320,34254.75
85450,154910,12388.67
85451,113335,41300
85452,109636,22492
85453,175204,475515
85454,120829,28463
85455,111816,54025
85456,139790,13699
85457,126545,30738
85458,172982,40397
85459,163672,30240
85460,120955,41250
85461,155755,34608
85462,119544,15113
85463,157339,15398
85464,116976,20655.54
85465,116218,75555
85466,167608,17952.3
85467,139805,34000
85468,180026,29635
85469,144716,8498.5
85470,122237,20652.99
85471,114301,82038
85472,127349,33833.5
85473,161415,42537.6
85474,154776,19167
85475,156028,12840
85476,130809,11399.92
85477,156025,13398
85478,152427,29386
85479,158299,17250
85480,127476,30219.42
85481,110586,13056
85482,126040,17930
85483,154396,17266
85484,162501,20785
85485,164880,41464.8
85486,175543,136395
85487,160478,18360
85488,168923,34375.45
85489,155907,46253
85490,110661,15714
85491,179808,11125
85492,169911,31032
85493,109833,11739
85494,160369,22160.25
85495,157074,34302.84
85496,108800,133700
85497,120574,21369.6
85498,117987,20012.85
85499,120194,21997
85500,142775,33084
85501,116393,29019
85502,147542,27400
85503,114785,30718
85504,178642,33696
85505,119448,57570
85506,162252,47502
85507,164439,26190
85508,109408,20952
85509,152702,11657
85510,179991,9064.5
85511,126992,44524
85512,117562,25110
85513,118709,27081
85514,175940,37188.94
85515,118378,16614
85516,153657,4609
85517,180116,22464
85518,115688,37170
85519,122994,33266.7
85520,163600,45500
85521,156523,17905.5
85522,127007,31039.45
85523,162492,35672.06
85524,164085,13654
85525,165972,29582
85526,158042,38869.51
85527,154183,32886
85528,153847,18000
85529,120615,36855
85530,177913,29284
85531,122910,17799
85532,137852,33624.3
85533,114401,17509
85534,163024,24840
85535,159548,23850
85536,160122,14685
85537,154600,28668
85538,149218,13674
85539,176908,28273.17
85540,181039,22365
85541,180071,21924
85542,166598,81745.8
85543,118091,20706
85544,158543,38296.5
85545,120079,18931.2
85546,163350,42336
85547,164783,25841
85548,130565,41577.6
85549,159899,23747.5
85550,160481,24624
85551,115373,49420.8
85552,160623,315222
85553,158875,20830
85554,157472,22433
85555,120346,24308
85556,180828,29697.66
85557,171847,40199
