,Project Number,PV Module Model Number
640,2011-425804-Sola,
641,2012-465521-Sola,
642,2014-663919-Sola,
643,2013-538372-Sola,
644,2011-158528-SLPR,
645,2014-661167-Sola,
646,2014-643656-Sola,
647,2011-159185-SLPR,
648,2012-475451-Sola,
649,2014-653707-Sola,
650,2011-158087-SLPR,
651,2011-159977-SLPR,
652,2013-527035-Sola,
653,2014-664306-Sola,
654,2011-157212-SLPR,
655,2011-415194-Sola,
656,2013-585727-Sola,
657,2014-665447-Sola,
658,2014-653764-Sola,
659,4022-31064,STP190S-24/Ad
660,2014-664682-Sola,
661,2011-158992-SLPR,
662,2011-157760-SLPR,
663,4061-045,SPR-225-BLK-U
664,2011-158845-SLPR,
665,2011-159828-SLPR,
666,2014-640009-Sola,
667,2012-502605-Sola,
668,2014-649572-Sola,
669,2011-159928-SLPR,
670,2011-440899-Sola,
671,2014-640367-Sola,
672,2014-659120-Sola,
673,2014-648547-Sola,
674,2013-540136-Sola,
675,2011-157498-SLPR,
676,2014-660731-Sola,
677,2013-533943-Sola,
678,2013-530163-Sola,
679,2014-654869-Sola,
680,2014-650962-Sola,
681,2014-645925-Sola,
682,2011-159674-SLPR,
683,2012-500769-Sola,
684,2013-531613-Sola,
685,2011-159779-SLPR,
686,2014-657139-Sola,
687,2011-156571-SLPR,
688,4006-100263,KU270-6MCA
689,2011-158684-SLPR,
690,2011-159360-SLPR,
691,2014-655332-Sola,
692,2014-639827-Sola,
693,2011-161126-SLPR,
694,2014-645338-Sola,
695,2011-159504-SLPR,
696,2013-535521-Sola,
697,2013-623503-Sola,
698,2014-663925-Sola,
699,2014-644955-Sola,
700,2013-636552-Sola,
701,2014-648906-Sola,
702,2011-159241-SLPR,
703,2011-158760-SLPR,
704,2013-525160-Sola,
705,2013-633928-Sola,
706,2011-448215-Sola,
707,2011-157151-SLPR,
708,2014-665440-Sola,
709,2013-584020-Sola,
710,2011-159876-SLPR,
711,2014-645911-Sola,
712,4014-34952,TSM-230PA05
713,2011-157179-SLPR,
714,2014-660638-Sola,
715,2010-146062-SLPR,
716,2013-532069-Sola,
717,2013-542088-Sola,
718,2011-159234-SLPR,
719,2011-157438-SLPR,
720,2011-157941-SLPR,
721,2011-371423-SLPR,
722,2011-160469-SLPR,
723,2013-531503-Sola,
724,2011-158355-SLPR,
725,2014-673263-Sola,
726,2013-538768-Sola,
727,2011-382720-SLPR,
728,2014-653955-Sola,
729,4033-21069,SPR-238E-WHT-D
730,4030-26092,S79U240 ulr
731,4006-78338,KD265GX-LFB2
732,2012-475816-Sola,
733,2013-531505-Sola,
734,2011-160412-SLPR,
735,4033-49119,WSP-280M6
736,2011-159436-SLPR,
737,2014-646602-Sola,
738,2014-653921-Sola,
739,4011-011,SPR-230-WHT-U
740,2014-646009-Sola,
741,2014-648453-Sola,
742,2011-150687-SLPR,
743,2014-665944-Sola,
744,4030-20794,MPE 180 MS 05
745,2014-646303-Sola,
746,2013-584733-Sola,
747,2011-156680-SLPR,
748,2012-464629-Sola,
749,2013-537310-Sola,
750,2011-158858-SLPR,
751,2013-524657-Sola,
752,2011-157405-SLPR,
753,2011-158864-SLPR,
754,2011-158028-SLPR,
755,2014-650940-Sola,
756,4030-20124,MPE 230 PS 09
757,2011-160409-SLPR,
758,2012-471762-Sola,
759,2014-645194-Sola,
760,2011-432942-SLPR,
761,2013-539668-Sola,
762,2011-414248-Sola,
763,2012-518564-Sola,
764,4025-36168,ET-P660250BBAC
765,4054-23845,KD215GX-LPU
766,4005-032,CS5P-230M
767,2013-535762-Sola,
768,2013-531243-Sola,
769,4033-53795,WSP-260M6
770,2014-658744-Sola,
771,2010-144145-SLPR,
772,2011-157648-SLPR,
773,2014-639854-Sola,
774,2013-534716-Sola,
775,2014-655035-Sola,
776,2014-648333-Sola,
777,4030-19435,SPR-215-WHT-U
778,2013-540872-Sola,
779,2011-159452-SLPR,
780,2012-519417-Sola,
781,2014-648855-Sola,
782,2013-534523-Sola,
783,2013-539497-Sola,
784,2011-371989-SLPR,
785,2013-531703-Sola,
786,2014-640428-Sola,
787,2013-521858-Sola,
788,2011-269195-SLPR,
789,2012-486051-Sola,
790,2011-156360-SLPR,
791,2011-159327-SLPR,
792,2011-156870-SLPR,
793,2014-646419-Sola,
794,2010-147340-SLPR,
795,2013-633961-Sola,
796,2010-145303-SLPR,
797,2011-158135-SLPR,
798,2013-538864-Sola,
799,2011-440609-Sola,
800,2011-158400-SLPR,
801,2010-145791-SLPR,
802,2011-157465-SLPR,
803,2012-465859-Sola,
804,2013-535615-Sola,
805,4006-42223,TSM-255PA05.08
806,2014-636854-Sola,
807,2014-664424-Sola,
808,4054-19551,KD210GX-LPU
809,2011-158152-SLPR,
810,2014-664587-Sola,
811,2012-456399-Sola,
812,2011-159076-SLPR,
813,2011-156762-SLPR,
814,2010-146726-SLPR,
815,2014-659092-Sola,
816,4033-36936,SPR-E20-327
817,2011-156954-SLPR,
818,2013-538131-Sola,
819,4089-67105,SPR-E20-327-COM
820,4006-41275,TSM-255PA05.08
821,2011-156365-SLPR,
822,2011-161044-SLPR,
823,2011-447588-Sola,
824,2014-660882-Sola,
825,2010-147289-SLPR,
826,4021-001,ND-198U1F
827,2010-149524-SLPR,
828,4005-049,CS5P-240M
829,2011-159917-SLPR,
830,2010-147689-SLPR,
831,2011-160839-SLPR,
832,2011-158512-SLPR,
833,2013-534384-Sola,
834,2014-661106-Sola,
835,2014-655226-Sola,
836,2011-157979-SLPR,
837,2013-628333-Sola,
838,2013-537712-Sola,
839,2014-655196-Sola,
840,2014-643551-Sola,
841,2013-536347-Sola,
842,4056-011,SPR-230-WHT-U
843,2012-469370-Sola,
844,2011-157744-SLPR,
845,2011-346646-SLPR,
846,2011-159809-SLPR,
847,2011-159098-SLPR,
848,2011-157380-SLPR,
849,2011-440829-Sola,
850,2013-542693-Sola,
851,2014-648653-Sola,
852,2010-148648-SLPR,
